Hotel Name,Location,Rating,Room Score,Room Type,Bed Type,Price,City,Country,twins,fulls,queen,king,sofa beds,bunk beds,futon beds,Number of bed
Katiliya Mountain Resort And Spa,Mae Salong Nai,8.7,9.0,Standard Suite,1 king bed,285.952,Mae Salong Nai,Thailand,0,0,0,1,0,0,0,1
Katiliya Mountain Resort And Spa,Mae Salong Nai,8.7,9.0,Standard Suite,1 king bed,285.952,Mae Salong Nai,Thailand,0,0,0,1,0,0,0,1
Grand Inter Hotel,Samut Sakhon,8.2,8.4,Deluxe Double Room with Balcony,1 king bed,57.084,Samut Sakhon,Thailand,0,0,0,1,0,0,0,1
Grand Inter Hotel,Samut Sakhon,8.2,8.4,Deluxe Double Room with Balcony,1 king bed,57.084,Samut Sakhon,Thailand,0,0,0,1,0,0,0,1
JonoX Phuket Karon Hotel,Karon Beach,8.6,8.7,Recharge,Multiple bed types,143.756,Phuket,Thailand,0,0,0,0,0,0,0,0
Scandia Beach Hotel,Jomtien Beach,7.3,0.0,Superior Twin Room with Balcony,2 twin beds,39.771,Pattaya,Thailand,2,0,0,0,0,0,0,2
Come Moon Loft Hotel,Phrae,8.5,8.8,Double Room,1 full bed,45.998,Phrae,Thailand,0,1,0,0,0,0,0,1
Come Moon Loft Hotel,Phrae,8.5,8.8,Double Room,1 full bed,45.998,Phrae,Thailand,0,1,0,0,0,0,0,1
Lady Naya Villas - SHA Extra Plus,Rawai Beach,9.1,9.3,Deluxe Double or Twin Room with Pool Access,Multiple bed types,135.859,Phuket,Thailand,0,0,0,0,0,0,0,0
Fortune View Khong Hotel Nakhon Phanom,Nakhon Phanom,8.4,8.8,Superior Double Room with City View,1 full bed,95.793,Nakhon Phanom,Thailand,0,1,0,0,0,0,0,1
Fortune View Khong Hotel Nakhon Phanom,Nakhon Phanom,8.4,8.8,Superior Double Room with City View,1 full bed,95.793,Nakhon Phanom,Thailand,0,1,0,0,0,0,0,1
